WordIndices	HiddenWords	CantContext	CantToDecode	code
0	熊,北极,地铁,射线	二期,医院,玩偶	二期	2
1	熊,北极,地铁,射线	二期,医院,玩偶	医院	3
2	熊,北极,地铁,射线	二期,医院,玩偶	玩偶	0
0	世界,高跟鞋,火山,红色	沙盒,贵重,对联	沙盒	0
1	世界,高跟鞋,火山,红色	沙盒,贵重,对联	贵重	1
2	世界,高跟鞋,火山,红色	沙盒,贵重,对联	对联	2
0	熊,北极,地铁,射线	饼干,毛衣,共享汽车	饼干	0
1	熊,北极,地铁,射线	饼干,毛衣,共享汽车	毛衣	1
2	熊,北极,地铁,射线	饼干,毛衣,共享汽车	共享汽车	2
0	世界,高跟鞋,火山,红色	日本,中国,人妖	日本	2
1	世界,高跟鞋,火山,红色	日本,中国,人妖	中国	3
2	世界,高跟鞋,火山,红色	日本,中国,人妖	人妖	1
0	熊,北极,地铁,射线	一点,黑白,王树国	一点	3
1	熊,北极,地铁,射线	一点,黑白,王树国	黑白	0
2	熊,北极,地铁,射线	一点,黑白,王树国	王树国	2
0	世界,高跟鞋,火山,红色	好看,热血,暴击	好看	1
1	世界,高跟鞋,火山,红色	好看,热血,暴击	热血	3
2	世界,高跟鞋,火山,红色	好看,热血,暴击	暴击	2
0	传说,点,头绳,蜡烛	炉石,泪始干,几	炉石	0
1	传说,点,头绳,蜡烛	炉石,泪始干,几	泪始干	3
2	传说,点,头绳,蜡烛	炉石,泪始干,几	几	1
0	披萨,三明治,云,鸭嘴兽	水,饼,嘎	水	2
1	披萨,三明治,云,鸭嘴兽	水,饼,嘎	饼	0
2	披萨,三明治,云,鸭嘴兽	水,饼,嘎	嘎	3
0	传说,点,头绳,蜡烛	金色,忽明忽暗,捆	金色	0
1	传说,点,头绳,蜡烛	金色,忽明忽暗,捆	忽明忽暗	3
2	传说,点,头绳,蜡烛	金色,忽明忽暗,捆	捆	2
0	披萨,三明治,云,鸭嘴兽	1+1+1,濒危,烤	1+1+1	1
1	披萨,三明治,云,鸭嘴兽	1+1+1,濒危,烤	濒危	3
2	披萨,三明治,云,鸭嘴兽	1+1+1,濒危,烤	烤	0
0	传说,点,头绳,蜡烛	女,占水,老师	女	2
1	传说,点,头绳,蜡烛	女,占水,老师	占水	1
2	传说,点,头绳,蜡烛	女,占水,老师	老师	3
0	披萨,三明治,云,鸭嘴兽	切搁,奥利奥,扁	切搁	0
1	披萨,三明治,云,鸭嘴兽	切搁,奥利奥,扁	奥利奥	1
